review,rating,date,bank,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label,identified_themes
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,0.0,0.577,0.423,0.765,positive,User Interface & Experience
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,0.0,0.734,0.266,0.6096,positive,User Interface & Experience
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,0.164,0.736,0.1,-0.298,negative,User Interface & Experience
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,0.0,0.714,0.286,0.6369,positive,"Account Access Issues, Transaction Performance, Customer Support"
what is this app problem???,1,2025-06-05,CBE,Google Play,0.448,0.552,0.0,-0.5007,negative,User Interface & Experience
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,0.0,0.513,0.487,0.6908,positive,User Interface & Experience
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,"Transaction Performance, User Interface & Experience"
good,4,2025-06-05,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
not functional,1,2025-06-05,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,0.066,0.82,0.113,0.1739,positive,"User Interface & Experience, Customer Support"
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
best,5,2025-06-04,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
bezabih,5,2025-06-04,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,0.0,0.488,0.512,0.6369,positive,User Interface & Experience
good,5,2025-06-04,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,0.0,0.839,0.161,0.6369,positive,"Transaction Performance, User Interface & Experience"
good,5,2025-06-04,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
Good,5,2025-06-04,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
👌👍,5,2025-06-04,CBE,Google Play,0.0,0.246,0.754,0.7297,positive,Other
very niec,5,2025-06-04,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
best app of finance,5,2025-06-04,CBE,Google Play,0.0,0.417,0.583,0.6369,positive,User Interface & Experience
yetemeta,1,2025-06-03,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
good,5,2025-06-03,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
it is not safety,1,2025-06-03,CBE,Google Play,0.437,0.563,0.0,-0.3252,negative,Other
NICE bank,5,2025-06-03,CBE,Google Play,0.0,0.221,0.779,0.5473,positive,Other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,0.278,0.485,0.238,-0.2263,negative,User Interface & Experience
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,0.16,0.592,0.249,0.3612,positive,User Interface & Experience
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,0.0,0.837,0.163,0.2382,positive,Other
best app,5,2025-06-01,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,User Interface & Experience
Awesome bank,5,2025-06-01,CBE,Google Play,0.0,0.196,0.804,0.6249,positive,Other
